         499553 function calls (480924 primitive calls) in 1.255 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      144    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       44    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
    31/26    0.000    0.000    0.010    0.000 css_parser.py:704(parse_pseudo_open)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2176(__init__)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
        1    0.000    0.000    0.007    0.007 ssl.py:4(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fee7376f4c0}
  255/253    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      191    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      291    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       44    0.000    0.000    0.000    0.000 ipaddress.py:1880(__init__)
      152    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       16    0.000    0.000    0.000    0.000 parse.py:372(urlparse)
        1    0.000    0.000    0.006    0.006 utils.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:971(SSLSocket)
        1    0.000    0.000    0.000    0.000 css_match.py:1424(SoupSieve)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       19    0.000    0.000    0.000    0.000 ipaddress.py:1467(__init__)
       45    0.000    0.000    0.003    0.000 css_parser.py:997(<listcomp>)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7fee736de9d0}
       10    0.000    0.000    0.004    0.000 enum.py:528(_convert_)
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      168    0.000    0.000    0.000    0.000 os.py:697(__iter__)
        1    0.000    0.000    0.020    0.020 url.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:2(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:165(<dictcomp>)
        1    0.000    0.000    0.110    0.110 __init__.py:8(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
      220    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       66    0.000    0.000    0.000    0.000 re.py:270(escape)
       42    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
       44    0.000    0.000    0.472    0.011 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
        1    0.000    0.000    0.024    0.024 ssl_.py:1(<module>)
       22    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       66    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       26    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       68    0.000    0.000    0.000    0.000 status_codes.py:114(doc)
      299    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
       32    0.000    0.000    0.136    0.004 models.py:756(generate)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      190    0.000    0.000    0.000    0.000 dammit.py:2377(<genexpr>)
        1    0.000    0.000    0.007    0.007 cd.py:1(<module>)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:933(update)
        1    0.000    0.000    0.003    0.003 ssl_.py:250(create_urllib3_context)
        1    0.000    0.000    0.002    0.002 models.py:3(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:535(_split_addr_prefix)
      122    0.000    0.000    0.000    0.000 enum.py:438(<genexpr>)
    65/62    0.000    0.000    0.001    0.000 typing.py:269(inner)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
       62    0.000    0.000    0.000    0.000 __init__.py:24(__new__)
       28    0.000    0.000    0.000    0.000 functools.py:517(decorating_function)
