         589740 function calls (568554 primitive calls) in 1.148 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       94    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       94    0.000    0.000    0.000    0.000 ipaddress.py:576(__int__)
       91    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       91    0.000    0.000    0.000    0.000 os.py:754(encode)
       89    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       89    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       86    0.000    0.000    0.000    0.000 typing.py:988(<genexpr>)
       86    0.000    0.000    0.000    0.000 re.py:270(escape)
       86    0.000    0.000    0.000    0.000 _models.py:23(enforce_bytes)
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
       84    0.000    0.000    0.000    0.000 os.py:697(__iter__)
       84    0.000    0.000    0.000    0.000 _collections_abc.py:849(__iter__)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1201(_parse_octet)
       78    0.000    0.000    0.000    0.000 element.py:1536(__eq__)
       78    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       77    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
       77    0.000    0.000    0.004    0.000 css_parser.py:450(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
       73    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       72    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
       71    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
       70    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
       70    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       68    0.000    0.000    0.000    0.000 enum.py:244(<genexpr>)
       67    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       67    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
       65    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       64    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       63    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
       63    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
       62    0.000    0.000    0.000    0.000 __init__.py:24(__new__)
       62    0.000    0.000    0.000    0.000 _status_codes.py:24(__new__)
       61    0.000    0.000    0.000    0.000 dammit.py:2409(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       59    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       59    0.000    0.000    0.002    0.000 abc.py:105(__new__)
       57    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       56    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       56    0.000    0.000    0.000    0.000 _utils.py:30(normalize_header_key)
       54    0.000    0.000    0.004    0.000 dataclasses.py:377(_create_fn)
       53    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       53    0.000    0.000    0.000    0.000 _util.py:83(validate)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       51    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
    49/21    0.000    0.000    0.173    0.008 {built-in method builtins.__import__}
       48    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       48    0.000    0.000    0.000    0.000 dataclasses.py:753(_set_new_attribute)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       47    0.000    0.000    0.000    0.000 ipaddress.py:535(_split_addr_prefix)
       45    0.000    0.000    0.001    0.000 typing.py:904(__getitem__)
       45    0.000    0.000    0.003    0.000 css_parser.py:997(<listcomp>)
    45/14    0.001    0.000    0.014    0.001 css_parser.py:847(parse_selectors)
