         589089 function calls (567899 primitive calls) in 1.436 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      595    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       25    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      153    0.000    0.000    0.121    0.001 default.py:102(__iter__)
      272    0.000    0.000    0.001    0.000 typing.py:832(<genexpr>)
    35/27    0.000    0.000    0.011    0.000 css_parser.py:557(parse_pseudo_class)
      283    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       59    0.000    0.000    0.002    0.000 abc.py:105(__new__)
  153/115    0.000    0.000    0.005    0.000 typing.py:350(__getitem__)
      280    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       25    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      153    0.000    0.000    0.121    0.001 connection_pool.py:345(__iter__)
        1    0.000    0.000    0.000    0.000 traceback.py:318(StackSummary)
        1    0.000    0.000    0.000    0.000 threading.py:589(Barrier)
      290    0.000    0.000    0.000    0.000 typing.py:923(__eq__)
      157    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
       15    0.000    0.000    0.002    0.000 dataclasses.py:489(_init_fn)
       38    0.000    0.000    0.002    0.000 typing.py:469(Optional)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1608(_ip_int_from_string)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        2    0.000    0.000    0.070    0.035 _models.py:1(<module>)
        1    0.000    0.000    0.067    0.067 css_parser.py:1(<module>)
       86    0.000    0.000    0.000    0.000 _models.py:23(enforce_bytes)
        1    0.000    0.000    0.000    0.000 locks.py:23(Lock)
        1    0.000    0.000    0.000    0.000 _models.py:1200(Response)
       63    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
     10/5    0.000    0.000    0.000    0.000 inspect.py:2244(_signature_from_callable)
        7    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
       70    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
       67    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
      233    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      101    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
